project_tier,source,year,model,trim,title,price_usd,current_bid_usd,mileage,title_status,drivable,location,seller_type,vin,listing_id,source_url,photo_url,first_seen
clean,cars_com,2015,Cayman,Base,2015 Porsche Cayman Base,26499.0,,134809,unknown,,45036,dealer,WP0AA2A8XFK160370,8a831548-72e0-48d5-9643-d8881a5e6b50,https://www.cars.com/vehicledetail/8a831548-72e0-48d5-9643-d8881a5e6b50/,https://platform.cstatic-images.com/in/v2/6d32d7b8-e8ab-5d9a-8b5e-86e890b6d934/754e3d3f-3701-41ec-b0cd-53ed6a83d3c3/D-VHzIasMw2AEusBlCygSpmgxyE.jpg,2026-05-13 14:58:49.394295+00:00
clean,bring_a_trailer,2022,,,6k-Mile 2022 Porsche 718 Spyder,,26718.0,6000,unknown,,,auction,,113197454,https://bringatrailer.com/listing/2022-porsche-718-spyder-36/,https://bringatrailer.com/wp-content/uploads/2026/04/2022_porsche_718-spyder_20260422_222941176_ios-95931.jpg?resize=470%2C318,2026-05-13 14:58:51.397240+00:00
clean,copart,2019,CAYMAN,BASE,2019 Porsche CAYMAN BASE,,27500.0,103041,unknown,,KS - KANSAS CITY,salvage_auction,WP0AA2A81KS******,WP0AA2A81KS******,https://www.copart.com/lot/48864856,,2026-05-14 03:32:58.597274+00:00
salvage,copart,2025,BOXSTER,S,2025 Porsche BOXSTER S,,27750.0,4404,salvage,,NY - NEWBURGH,salvage_auction,WP0CB2A80SK******,WP0CB2A80SK******,https://www.copart.com/lot/47067076,,2026-05-14 03:32:58.597430+00:00
clean,bring_a_trailer,2014,,,2014 Porsche Cayman S 6-Speed,,30000.0,,unknown,,,auction,,112919524,https://bringatrailer.com/listing/2014-porsche-cayman-s-109/,https://bringatrailer.com/wp-content/uploads/2026/04/2014_porsche_cayman-s_img_5977-27147.jpeg?resize=470%2C318,2026-05-13 14:58:51.399531+00:00
clean,bring_a_trailer,2016,,,24k-Mile 2016 Porsche 911 Targa 4 GTS,,30000.0,24000,unknown,,,auction,,113566515,https://bringatrailer.com/listing/2016-porsche-911-targa-4-gts-18/,https://bringatrailer.com/wp-content/uploads/2026/04/2016_porsche_911-targa-4-gts_2016_porsche_911-targa-4-gts_ff9412a4-972c-496a-a7b8-372aa0c0c505-wwB6tK-96798-96799-scaled.jpg?resize=470%2C318,2026-05-13 14:58:51.401226+00:00
salvage,copart,2025,TAYCAN,TURBO GT,2025 Porsche TAYCAN TURBO GT,,30250.0,1322,salvage,,IL - CHICAGO NORTH,salvage_auction,WP0AE2Y13SS******,WP0AE2Y13SS******,https://www.copart.com/lot/74401605,,2026-05-14 03:48:49.280469+00:00
clean,copart,2023,CAYENNE,BASE,2023 Porsche CAYENNE BASE,,30750.0,17427,unknown,,KY - LOUISVILLE,salvage_auction,WP1AA2AY4PD******,WP1AA2AY4PD******,https://www.copart.com/lot/53221536,,2026-05-14 03:48:49.280817+00:00
salvage,copart,2025,CAYENNE,SE HYBRID,2025 Porsche CAYENNE SE HYBRID,,32500.0,4235,salvage,,CA - VALLEJO,salvage_auction,WP1AN2AY8SD******,WP1AN2AY8SD******,https://www.copart.com/lot/99520445,,2026-05-14 03:48:49.281446+00:00
salvage,copart,2014,911,CARRERA S,2014 Porsche 911 CARRERA S,,35250.0,46080,salvage,,CA - RANCHO CUCAMONGA,salvage_auction,WP0AB2A91ES******,WP0AB2A91ES******,https://www.copart.com/lot/73711795,,2026-05-14 03:32:58.596978+00:00
